songs_links,songs_title_author,songs_progressions
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo153.html,245 - Eric Dolphy,"[['F7', 'Bb7', 'F7', '[F#-7 B7]', 'Bb7', 'Bo', '[E79# A7913b]', '[A-7 Ab-7]', 'G-7', '[Db-7 F#7]', 'B+7', 'B+7']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo165.html,245 - Freddie Hubbard,"[['F7', 'Bb7', 'F7', '[F#- B7]', 'Bb7', 'Bo', '[E79# Ab7913b]', '[A-7 Ab-7]', 'G-7', '[C#- F#7]', 'B+7', 'B+7']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo215.html,26-2 - John Coltrane,[['[ ~]']]
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo87.html,A Night in Tunisia - Clifford Brown,"[['Eb7', 'D-6', 'Eb7', 'D-6', 'Eb7', 'D-6', '[Em7b5 A7]', 'D-6'], ['Eb7', 'D-6', 'Eb7', 'D-6', 'Eb7', 'D-6', '[Em7b5 A7]', 'D-6'], ['Am7b5', 'D79b', 'G-7', 'G-7', 'Cm7b5', 'C79b', 'Fj7', '[Em7b5 A7]'], ['Eb7', 'D-6', 'Eb7', 'D-6', 'Eb7', 'D-6', '[Em7b5 A7]', 'D-6']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo354.html,A Night in Tunisia - Pepper Adams,"[['D-6', 'Eb7', 'D-6', 'Eb7', 'D-6', '[Em7b5 A7]', 'D-6'], ['Eb7', 'D-6', 'Eb7', 'D-6', 'Eb7', 'D-6', '[Em7b5 A7]', 'D-6'], ['Am7b5', 'D79b', 'G-6', '[G-7 C7]', 'Gm7b5', 'C79b', 'F6', '[Em7b5 A7]'], ['Eb7', 'D-6', 'Eb7', 'D-6', 'Eb7', 'D-6', '[Em7b5 A7]', 'D-6']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo426.html,Adam's Apple - Wayne Shorter,"[['Ab7', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Gb7', 'Gb7', 'Gb7', 'Gb7', 'Ab7', 'Ab7', 'Ab7', 'Ab7', 'Ab-7', 'Db7913', 'Bb-7', 'Eb7', 'Ab-', 'Ab-', 'Bb-7/Eb', 'Bb-7/Eb']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo44.html,After Theatre Jump - Buck Clayton,"[['[Db Bb7]', '[Eb-7 Ab7]', '[Db Bb-7]', '[Eb-7 Ab7]', '[Db Db7]', '[Gb7 Gb-]', '[Db Bb-7]', '[Eb-7 Ab7]'], ['[Db Bb7]', '[Eb-7 Ab7]', '[Db Bb-7]', '[Eb-7 Ab7]', '[Db Db7]', '[Gb Gb-]', '[Db Bb-7]', '[Eb-7 Ab7]'], ['C7', 'C7', 'F7', 'F7', 'Bb7', 'Bb7', 'Eb7', 'Ab7'], ['[Db Bb7]', '[Eb-7 Ab7]', '[Db Bb-7]', '[Eb-7 Ab7]', '[Db Db7]', '[Gb Gb-]', '[Db Bb-7]', '[Eb-7 Ab7]'], ['[ ~]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo127.html,After Theatre Jump - Dickie Wells,"[['[Db Bb7]', '[Eb-7 Ab7]', '[F-7 Bb-7]', '[Eb-7 Ab7]', '[Ab-7 Db7]', '[Gb7 B7]', '[F-7 Bb-7]', '[Eb-7 Ab7]'], ['[Db Bb7]', '[Eb-7 Ab7]', '[F-7 Bb-7]', '[Eb-7 Ab7]', '[Ab-7 Db7]', '[Gb7 B7]', '[F-7 Bb-7]', '[Eb7 Ab7]'], ['C7', 'C7', 'F7', 'F7', 'Bb7', 'Bb7', 'Eb7', 'Ab7'], ['[Db Bb7]', '[Eb-7 Ab7]', '[F-7 Bb-7]', '[Eb-7 Ab7]', '[Ab-7 Db7]', '[Gb7 B7]', '[F-7 Bb-7]', '[Eb-7 Ab7]'], ['[ ~]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo278.html,After Theatre Jump - Lester Young,"[['[Db Bb7]', '[Eb-7 Ab7]', '[F-7 Bb-7]', '[Eb-7 Ab7]', '[Ab-7 Db7]', '[Gb7 B7]', '[F-7 Bb-7]', '[Eb-7 Ab7]'], ['[Db Bb7]', '[Eb-7 Ab7]', '[F-7 Bb-7]', '[Eb-7 Ab7]', '[Ab-7 Db7]', '[Gb7 B7]', '[F-7 Bb-7]', '[Eb7 Ab7]'], ['C7', 'C7', 'F7', 'F7', 'Bb7', 'Bb7', 'Eb7', 'Ab7'], ['[Db Bb7]', '[Eb-7 Ab7]', '[F-7 Bb-7]', '[Eb-7 Ab7]', '[Ab-7 Db7]', '[Gb7 B7]', '[F-7 Bb-7]', '[Eb-7 Ab7]']]"
https://jazzomat.hfm-weimar.de/dbformat/synopsis/solo184.html,Agitation - Herbie Hancock,"[['[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]', '[ ~]'], ['Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab', 'Db/Ab']]"
